商品名,価格,売却,状態,売却日,出品日
ナイキ エアマックス90 27cm 白,9800,売却済み,目立った傷や汚れなし,2026-07-02,2026-06-28
ナイキ エアマックス90 27cm 黒,11500,売却済み,未使用に近い,2026-07-05,2026-06-25
NIKE エアマックス90 27cm,8900,売却済み,やや傷や汚れあり,2026-07-11,2026-06-30
ナイキ エアマックス 90 27cm レザー,10200,売却済み,目立った傷や汚れなし,2026-07-18,2026-07-10
ナイキ AIR MAX 90 27cm,12800,売却済み,未使用に近い,2026-07-25,2026-07-20
ナイキ エアマックス90 27cm,9500,売却済み,目立った傷や汚れなし,2026-08-01,2026-07-22
ナイキ エアマックス90 27cm 中古,7800,売却済み,傷や汚れあり,2026-08-03,2026-07-15
エアマックス90 ナイキ 27cm,10500,売却済み,目立った傷や汚れなし,2026-08-06,2026-08-01
ナイキ エアマックス90 27cm 美品,13500,,未使用に近い,,2026-08-05
ナイキ エアマックス90 27cm,250000,,新品、未使用,,2026-08-07
